y_code,max_y_rdate,k_features
BOPTEXP_perc_diff_lag_1,2021-08-01,12
CPALTT01USM657N,2021-08-01,15
UNRATE,2021-08-01,38
UNRATE_diff_lag_1,2021-08-01,11
AMDMVS_diff_lag_1,2021-08-01,11
DSPIC96_perc_diff_lag_1,2019-07-01,11
DSPIC96_diff_lag_1,2019-07-01,14
PCEC96_diff_lag_1,2019-07-01,15
PCEC96_perc_diff_lag_1,2019-07-01,15
INVCMRMT_diff_lag_1,2019-07-01,20
INVCMRMT_perc_diff_lag_1,2019-07-01,17
TCU,2019-07-01,13
TCU_diff_lag_1,2019-07-01,13
BOPTIMP_perc_diff_lag_1,2019-07-01,25
BOPTIMP_diff_lag_1,2019-07-01,11
PAYEMS_diff_lag_1,2019-07-01,16
RRSFS_perc_diff_lag_1,2019-07-01,17
RRSFS_diff_lag_1,2019-07-01,15
INDPRO_perc_diff_lag_1,2019-07-01,14
INDPRO_diff_lag_1,2019-07-01,15
BOPTEXP_diff_lag_1,2019-07-01,18
BOPTEXP_perc_diff_lag_1,2019-07-01,17
CPALTT01USM657N,2019-07-01,12
AMDMVS_diff_lag_1,2019-07-01,24
DSPIC96_diff_lag_1,2019-12-01,15
DSPIC96_perc_diff_lag_1,2019-12-01,11
PCEC96_perc_diff_lag_1,2019-12-01,23
PCEC96_diff_lag_1,2019-12-01,16
INVCMRMT_diff_lag_1,2019-12-01,16
INVCMRMT_perc_diff_lag_1,2019-12-01,11
TCU,2019-12-01,17
TCU_diff_lag_1,2019-12-01,26
BOPTIMP_diff_lag_1,2019-12-01,13
PAYEMS_diff_lag_1,2019-12-01,12
RRSFS_perc_diff_lag_1,2019-12-01,11
RRSFS_diff_lag_1,2019-12-01,15
INDPRO_perc_diff_lag_1,2019-12-01,25
INDPRO_diff_lag_1,2019-12-01,14
BOPTEXP_diff_lag_1,2019-12-01,15
CPALTT01USM657N,2019-12-01,13
UNRATE_diff_lag_1,2019-12-01,24
AMDMVS_diff_lag_1,2019-12-01,23
DSPIC96_perc_diff_lag_1,2023-02-01,18
DSPIC96_diff_lag_1,2023-02-01,13
PCEC96_perc_diff_lag_1,2023-02-01,17
PCEC96_diff_lag_1,2023-02-01,14
INVCMRMT_diff_lag_1,2023-02-01,18
INVCMRMT_perc_diff_lag_1,2023-02-01,11
TCU,2023-02-01,23
TCU_diff_lag_1,2023-02-01,25
BOPTIMP_diff_lag_1,2023-02-01,24
BOPTIMP_perc_diff_lag_1,2023-02-01,22
PAYEMS_diff_lag_1,2023-02-01,12
RRSFS_diff_lag_1,2023-02-01,16
RRSFS_perc_diff_lag_1,2023-02-01,13
INDPRO_perc_diff_lag_1,2023-02-01,12
INDPRO_diff_lag_1,2023-02-01,14
BOPTEXP_perc_diff_lag_1,2023-02-01,15
BOPTEXP_diff_lag_1,2023-02-01,19
CPALTT01USM657N,2023-02-01,14
UNRATE,2023-02-01,15
UNRATE_diff_lag_1,2023-02-01,13
AMDMVS_diff_lag_1,2023-02-01,19
DSPIC96_perc_diff_lag_1,2021-04-01,15
DSPIC96_diff_lag_1,2021-04-01,11
PCEC96_perc_diff_lag_1,2021-04-01,12
INVCMRMT_diff_lag_1,2021-04-01,12
INVCMRMT_perc_diff_lag_1,2021-04-01,16
TCU_diff_lag_1,2021-04-01,11
BOPTIMP_perc_diff_lag_1,2021-04-01,14
BOPTIMP_diff_lag_1,2021-04-01,12
PAYEMS_diff_lag_1,2021-04-01,12
RRSFS_diff_lag_1,2021-04-01,18
RRSFS_perc_diff_lag_1,2021-04-01,19
INDPRO_perc_diff_lag_1,2021-04-01,13
INDPRO_diff_lag_1,2021-04-01,20
BOPTEXP_diff_lag_1,2021-04-01,17
BOPTEXP_perc_diff_lag_1,2021-04-01,17
CPALTT01USM657N,2021-04-01,19
UNRATE,2021-04-01,23
UNRATE_diff_lag_1,2021-04-01,12
AMDMVS_diff_lag_1,2021-04-01,13
DSPIC96_diff_lag_1,2020-02-01,14
DSPIC96_perc_diff_lag_1,2020-02-01,12
PCEC96_perc_diff_lag_1,2020-02-01,16
PCEC96_diff_lag_1,2020-02-01,11
INVCMRMT_diff_lag_1,2020-02-01,20
INVCMRMT_perc_diff_lag_1,2020-02-01,11
TCU_diff_lag_1,2020-02-01,20
TCU,2020-02-01,12
BOPTIMP_perc_diff_lag_1,2020-02-01,11
BOPTIMP_diff_lag_1,2020-02-01,19
PAYEMS_diff_lag_1,2020-02-01,25
RRSFS_perc_diff_lag_1,2020-02-01,11
RRSFS_diff_lag_1,2020-02-01,16
INDPRO_perc_diff_lag_1,2020-02-01,12
INDPRO_diff_lag_1,2020-02-01,11
BOPTEXP_diff_lag_1,2020-02-01,14
BOPTEXP_perc_diff_lag_1,2020-02-01,14
CPALTT01USM657N,2020-02-01,18
UNRATE_diff_lag_1,2020-02-01,26
AMDMVS_diff_lag_1,2020-02-01,17
DSPIC96_perc_diff_lag_1,2022-11-01,11
DSPIC96_diff_lag_1,2022-11-01,11
PCEC96_perc_diff_lag_1,2022-11-01,20
PCEC96_diff_lag_1,2022-11-01,23
INVCMRMT_perc_diff_lag_1,2022-11-01,11
INVCMRMT_diff_lag_1,2022-11-01,17
TCU_diff_lag_1,2022-11-01,19
TCU,2022-11-01,16
BOPTIMP_diff_lag_1,2022-11-01,16
BOPTIMP_perc_diff_lag_1,2022-11-01,12
PAYEMS_diff_lag_1,2022-11-01,15
RRSFS_diff_lag_1,2022-11-01,11
RRSFS_perc_diff_lag_1,2022-11-01,17
INDPRO_perc_diff_lag_1,2022-11-01,13
INDPRO_diff_lag_1,2022-11-01,12
BOPTEXP_perc_diff_lag_1,2022-11-01,16
BOPTEXP_diff_lag_1,2022-11-01,16
CPALTT01USM657N,2022-11-01,13
UNRATE_diff_lag_1,2022-11-01,14
UNRATE,2022-11-01,11
AMDMVS_diff_lag_1,2022-11-01,15
DSPIC96_diff_lag_1,2020-11-01,15
DSPIC96_perc_diff_lag_1,2020-11-01,14
PCEC96_perc_diff_lag_1,2020-11-01,15
PCEC96_diff_lag_1,2020-11-01,16
INVCMRMT_perc_diff_lag_1,2020-11-01,12
INVCMRMT_diff_lag_1,2020-11-01,12
TCU_diff_lag_1,2020-11-01,18
BOPTIMP_diff_lag_1,2020-11-01,15
BOPTIMP_perc_diff_lag_1,2020-11-01,19
PAYEMS_diff_lag_1,2020-11-01,22
RRSFS_perc_diff_lag_1,2020-11-01,17
RRSFS_diff_lag_1,2020-11-01,22
INDPRO_diff_lag_1,2020-11-01,16
INDPRO_perc_diff_lag_1,2020-11-01,15
BOPTEXP_diff_lag_1,2020-11-01,15
BOPTEXP_perc_diff_lag_1,2020-11-01,14
CPALTT01USM657N,2020-11-01,16
UNRATE_diff_lag_1,2020-11-01,20
UNRATE,2020-11-01,18
AMDMVS_diff_lag_1,2020-11-01,11
DSPIC96_perc_diff_lag_1,2018-05-01,16
DSPIC96_diff_lag_1,2018-05-01,15
INVCMRMT_diff_lag_1,2018-05-01,17
TCU,2018-05-01,17
TCU_diff_lag_1,2018-05-01,18
BOPTIMP_diff_lag_1,2018-05-01,16
BOPTIMP_perc_diff_lag_1,2018-05-01,14
RRSFS_diff_lag_1,2018-05-01,20
RRSFS_perc_diff_lag_1,2018-05-01,12
INDPRO_diff_lag_1,2018-05-01,11
INDPRO_perc_diff_lag_1,2018-05-01,16
BOPTEXP_diff_lag_1,2018-05-01,11
BOPTEXP_perc_diff_lag_1,2018-05-01,19
CPALTT01USM657N,2018-05-01,18
AMDMVS_diff_lag_1,2018-05-01,14
DSPIC96_perc_diff_lag_1,2020-10-01,11
DSPIC96_diff_lag_1,2020-10-01,16
PCEC96_diff_lag_1,2020-10-01,15
PCEC96_perc_diff_lag_1,2020-10-01,16
INVCMRMT_diff_lag_1,2020-10-01,22
TCU_diff_lag_1,2020-10-01,11
BOPTIMP_diff_lag_1,2020-10-01,19
BOPTIMP_perc_diff_lag_1,2020-10-01,17
PAYEMS_diff_lag_1,2020-10-01,24
RRSFS_perc_diff_lag_1,2020-10-01,23
RRSFS_diff_lag_1,2020-10-01,11
INDPRO_perc_diff_lag_1,2020-10-01,16
INDPRO_diff_lag_1,2020-10-01,11
BOPTEXP_perc_diff_lag_1,2020-10-01,11
BOPTEXP_diff_lag_1,2020-10-01,15
CPALTT01USM657N,2020-10-01,14
UNRATE,2020-10-01,21
UNRATE_diff_lag_1,2020-10-01,15
AMDMVS_diff_lag_1,2020-10-01,22
DSPIC96_diff_lag_1,2022-01-01,11
DSPIC96_perc_diff_lag_1,2022-01-01,13
PCEC96_diff_lag_1,2022-01-01,13
PCEC96_perc_diff_lag_1,2022-01-01,18
INVCMRMT_diff_lag_1,2022-01-01,11
TCU,2022-01-01,17
TCU_diff_lag_1,2022-01-01,11
BOPTIMP_diff_lag_1,2022-01-01,11
BOPTIMP_perc_diff_lag_1,2022-01-01,13
PAYEMS_diff_lag_1,2022-01-01,13
RRSFS_diff_lag_1,2022-01-01,11
INDPRO_perc_diff_lag_1,2022-01-01,19
INDPRO_diff_lag_1,2022-01-01,15
BOPTEXP_diff_lag_1,2022-01-01,16
BOPTEXP_perc_diff_lag_1,2022-01-01,11
CPALTT01USM657N,2022-01-01,18
UNRATE_diff_lag_1,2022-01-01,12
UNRATE,2022-01-01,11
AMDMVS_diff_lag_1,2022-01-01,19
DSPIC96_diff_lag_1,2022-06-01,14
DSPIC96_perc_diff_lag_1,2022-06-01,11
PCEC96_diff_lag_1,2022-06-01,15
PCEC96_perc_diff_lag_1,2022-06-01,14
INVCMRMT_perc_diff_lag_1,2022-06-01,12
INVCMRMT_diff_lag_1,2022-06-01,12
TCU_diff_lag_1,2022-06-01,17
TCU,2022-06-01,21
BOPTIMP_perc_diff_lag_1,2022-06-01,11
BOPTIMP_diff_lag_1,2022-06-01,19
PAYEMS_diff_lag_1,2022-06-01,27
RRSFS_perc_diff_lag_1,2022-06-01,16
RRSFS_diff_lag_1,2022-06-01,14
INDPRO_perc_diff_lag_1,2022-06-01,15
INDPRO_diff_lag_1,2022-06-01,11
BOPTEXP_diff_lag_1,2022-06-01,16
BOPTEXP_perc_diff_lag_1,2022-06-01,12
UNRATE_diff_lag_1,2022-06-01,11
UNRATE,2022-06-01,14
AMDMVS_diff_lag_1,2022-06-01,11
DSPIC96_perc_diff_lag_1,2019-01-01,18
DSPIC96_diff_lag_1,2019-01-01,13
PCEC96_diff_lag_1,2019-01-01,18
PCEC96_perc_diff_lag_1,2019-01-01,15
TCU,2019-01-01,11
TCU_diff_lag_1,2019-01-01,27
BOPTIMP_diff_lag_1,2019-01-01,13
BOPTIMP_perc_diff_lag_1,2019-01-01,12
RRSFS_diff_lag_1,2019-01-01,15
INDPRO_diff_lag_1,2019-01-01,14
INDPRO_perc_diff_lag_1,2019-01-01,11
BOPTEXP_perc_diff_lag_1,2019-01-01,13
BOPTEXP_diff_lag_1,2019-01-01,11
CPALTT01USM657N,2019-01-01,18
AMDMVS_diff_lag_1,2019-01-01,11
DSPIC96_diff_lag_1,2021-12-01,11
DSPIC96_perc_diff_lag_1,2021-12-01,14
PCEC96_perc_diff_lag_1,2021-12-01,12
PCEC96_diff_lag_1,2021-12-01,17
INVCMRMT_diff_lag_1,2021-12-01,16
TCU,2021-12-01,17
TCU_diff_lag_1,2021-12-01,11
BOPTIMP_diff_lag_1,2021-12-01,13
PAYEMS_diff_lag_1,2021-12-01,35
RRSFS_diff_lag_1,2021-12-01,17
INDPRO_perc_diff_lag_1,2021-12-01,14
INDPRO_diff_lag_1,2021-12-01,18
BOPTEXP_diff_lag_1,2021-12-01,16
CPALTT01USM657N,2021-12-01,19
UNRATE,2021-12-01,22
UNRATE_diff_lag_1,2021-12-01,30
AMDMVS_diff_lag_1,2021-12-01,13
DSPIC96_diff_lag_1,2021-06-01,11
DSPIC96_perc_diff_lag_1,2021-06-01,11
PCEC96_diff_lag_1,2021-06-01,12
PCEC96_perc_diff_lag_1,2021-06-01,25
INVCMRMT_diff_lag_1,2021-06-01,15
TCU_diff_lag_1,2021-06-01,20
BOPTIMP_diff_lag_1,2021-06-01,16
BOPTIMP_perc_diff_lag_1,2021-06-01,19
PAYEMS_diff_lag_1,2021-06-01,28
RRSFS_diff_lag_1,2021-06-01,17
RRSFS_perc_diff_lag_1,2021-06-01,14
INDPRO_perc_diff_lag_1,2021-06-01,14
INDPRO_diff_lag_1,2021-06-01,15
BOPTEXP_perc_diff_lag_1,2021-06-01,13
BOPTEXP_diff_lag_1,2021-06-01,18
CPALTT01USM657N,2021-06-01,20
UNRATE,2021-06-01,19
UNRATE_diff_lag_1,2021-06-01,20
AMDMVS_diff_lag_1,2021-06-01,14
DSPIC96_diff_lag_1,2021-02-01,15
DSPIC96_perc_diff_lag_1,2021-02-01,15
PCEC96_perc_diff_lag_1,2021-02-01,12
INVCMRMT_diff_lag_1,2021-02-01,25
INVCMRMT_perc_diff_lag_1,2021-02-01,19
TCU_diff_lag_1,2021-02-01,28
BOPTIMP_perc_diff_lag_1,2021-02-01,13
BOPTIMP_diff_lag_1,2021-02-01,16
PAYEMS_diff_lag_1,2021-02-01,22
RRSFS_perc_diff_lag_1,2021-02-01,11
RRSFS_diff_lag_1,2021-02-01,11
INDPRO_perc_diff_lag_1,2021-02-01,14
INDPRO_diff_lag_1,2021-02-01,15
BOPTEXP_perc_diff_lag_1,2021-02-01,12
BOPTEXP_diff_lag_1,2021-02-01,11
CPALTT01USM657N,2021-02-01,19
UNRATE_diff_lag_1,2021-02-01,20
UNRATE,2021-02-01,17
AMDMVS_diff_lag_1,2021-02-01,11
DSPIC96_perc_diff_lag_1,2023-01-01,11
DSPIC96_diff_lag_1,2023-01-01,13
PCEC96_perc_diff_lag_1,2023-01-01,12
PCEC96_diff_lag_1,2023-01-01,22
INVCMRMT_perc_diff_lag_1,2023-01-01,15
INVCMRMT_diff_lag_1,2023-01-01,16
TCU_diff_lag_1,2023-01-01,11
TCU,2023-01-01,20
BOPTIMP_diff_lag_1,2023-01-01,17
BOPTIMP_perc_diff_lag_1,2023-01-01,19
PAYEMS_diff_lag_1,2023-01-01,11
RRSFS_diff_lag_1,2023-01-01,15
RRSFS_perc_diff_lag_1,2023-01-01,11
INDPRO_diff_lag_1,2023-01-01,11
INDPRO_perc_diff_lag_1,2023-01-01,14
BOPTEXP_perc_diff_lag_1,2023-01-01,20
BOPTEXP_diff_lag_1,2023-01-01,18
CPALTT01USM657N,2023-01-01,14
UNRATE_diff_lag_1,2023-01-01,11
AMDMVS_diff_lag_1,2023-01-01,17
DSPIC96_perc_diff_lag_1,2018-11-01,14
DSPIC96_diff_lag_1,2018-11-01,12
PAYEMS_diff_lag_1,2018-11-01,17
INDPRO_diff_lag_1,2018-11-01,15
INDPRO_perc_diff_lag_1,2018-11-01,17
DSPIC96_perc_diff_lag_1,2019-04-01,20
DSPIC96_diff_lag_1,2019-04-01,11
PCEC96_perc_diff_lag_1,2019-04-01,18
PCEC96_diff_lag_1,2019-04-01,23
INVCMRMT_diff_lag_1,2019-04-01,18
TCU_diff_lag_1,2019-04-01,13
TCU,2019-04-01,11
BOPTIMP_perc_diff_lag_1,2019-04-01,17
BOPTIMP_diff_lag_1,2019-04-01,14
PAYEMS_diff_lag_1,2019-04-01,33
RRSFS_perc_diff_lag_1,2019-04-01,14
RRSFS_diff_lag_1,2019-04-01,16
INDPRO_diff_lag_1,2019-04-01,17
INDPRO_perc_diff_lag_1,2019-04-01,14
BOPTEXP_perc_diff_lag_1,2019-04-01,19
BOPTEXP_diff_lag_1,2019-04-01,13
CPALTT01USM657N,2019-04-01,12
AMDMVS_diff_lag_1,2019-04-01,17
DSPIC96_diff_lag_1,2021-03-01,11
DSPIC96_perc_diff_lag_1,2021-03-01,11
PCEC96_diff_lag_1,2021-03-01,14
PCEC96_perc_diff_lag_1,2021-03-01,12
INVCMRMT_perc_diff_lag_1,2021-03-01,16
INVCMRMT_diff_lag_1,2021-03-01,15
TCU_diff_lag_1,2021-03-01,17
BOPTIMP_perc_diff_lag_1,2021-03-01,16
BOPTIMP_diff_lag_1,2021-03-01,13
PAYEMS_diff_lag_1,2021-03-01,11
RRSFS_diff_lag_1,2021-03-01,11
RRSFS_perc_diff_lag_1,2021-03-01,16
INDPRO_diff_lag_1,2021-03-01,11
INDPRO_perc_diff_lag_1,2021-03-01,11
BOPTEXP_diff_lag_1,2021-03-01,13
BOPTEXP_perc_diff_lag_1,2021-03-01,18
CPALTT01USM657N,2021-03-01,17
UNRATE_diff_lag_1,2021-03-01,18
UNRATE,2021-03-01,24
AMDMVS_diff_lag_1,2021-03-01,13
DSPIC96_perc_diff_lag_1,2020-08-01,13
DSPIC96_diff_lag_1,2020-08-01,22
PCEC96_perc_diff_lag_1,2020-08-01,15
PCEC96_diff_lag_1,2020-08-01,23
INVCMRMT_perc_diff_lag_1,2020-08-01,20
INVCMRMT_diff_lag_1,2020-08-01,25
TCU_diff_lag_1,2020-08-01,17
TCU,2020-08-01,30
BOPTIMP_diff_lag_1,2020-08-01,12
BOPTIMP_perc_diff_lag_1,2020-08-01,16
PAYEMS_diff_lag_1,2020-08-01,25
RRSFS_diff_lag_1,2020-08-01,15
RRSFS_perc_diff_lag_1,2020-08-01,19
INDPRO_diff_lag_1,2020-08-01,11
INDPRO_perc_diff_lag_1,2020-08-01,12
BOPTEXP_diff_lag_1,2020-08-01,16
BOPTEXP_perc_diff_lag_1,2020-08-01,14
CPALTT01USM657N,2020-08-01,13
AMDMVS_diff_lag_1,2020-08-01,21
DSPIC96_perc_diff_lag_1,2021-11-01,12
DSPIC96_diff_lag_1,2021-11-01,11
PCEC96_diff_lag_1,2021-11-01,11
PCEC96_perc_diff_lag_1,2021-11-01,19
INVCMRMT_diff_lag_1,2021-11-01,15
TCU,2021-11-01,25
TCU_diff_lag_1,2021-11-01,14
BOPTIMP_diff_lag_1,2021-11-01,11
BOPTIMP_perc_diff_lag_1,2021-11-01,14
PAYEMS_diff_lag_1,2021-11-01,12
RRSFS_perc_diff_lag_1,2021-11-01,15
RRSFS_diff_lag_1,2021-11-01,11
INDPRO_diff_lag_1,2021-11-01,12
INDPRO_perc_diff_lag_1,2021-11-01,12
BOPTEXP_diff_lag_1,2021-11-01,13
BOPTEXP_perc_diff_lag_1,2021-11-01,11
UNRATE,2021-11-01,26
UNRATE_diff_lag_1,2021-11-01,18
AMDMVS_diff_lag_1,2021-11-01,26
