y_code,max_y_rdate,k_features
BOPTIMP_diff_lag_1,2020-12-01,14
BOPTIMP_perc_diff_lag_1,2020-12-01,17
PAYEMS_diff_lag_1,2020-12-01,32
RRSFS_perc_diff_lag_1,2020-12-01,15
RRSFS_diff_lag_1,2020-12-01,11
INDPRO_perc_diff_lag_1,2020-12-01,17
INDPRO_diff_lag_1,2020-12-01,11
BOPTEXP_diff_lag_1,2020-12-01,18
BOPTEXP_perc_diff_lag_1,2020-12-01,15
CPALTT01USM657N,2020-12-01,14
UNRATE_diff_lag_1,2020-12-01,18
UNRATE,2020-12-01,19
AMDMVS_diff_lag_1,2020-12-01,11
DSPIC96_diff_lag_1,2022-12-01,11
PCEC96_perc_diff_lag_1,2022-12-01,17
PCEC96_diff_lag_1,2022-12-01,11
INVCMRMT_diff_lag_1,2022-12-01,18
TCU,2022-12-01,19
TCU_diff_lag_1,2022-12-01,14
BOPTIMP_perc_diff_lag_1,2022-12-01,14
BOPTIMP_diff_lag_1,2022-12-01,19
PAYEMS_diff_lag_1,2022-12-01,33
RRSFS_perc_diff_lag_1,2022-12-01,12
RRSFS_diff_lag_1,2022-12-01,19
INDPRO_diff_lag_1,2022-12-01,14
INDPRO_perc_diff_lag_1,2022-12-01,15
BOPTEXP_diff_lag_1,2022-12-01,11
BOPTEXP_perc_diff_lag_1,2022-12-01,16
CPALTT01USM657N,2022-12-01,19
UNRATE_diff_lag_1,2022-12-01,24
AMDMVS_diff_lag_1,2022-12-01,17
DSPIC96_diff_lag_1,2019-05-01,11
DSPIC96_perc_diff_lag_1,2019-05-01,16
PCEC96_diff_lag_1,2019-05-01,16
PCEC96_perc_diff_lag_1,2019-05-01,16
INVCMRMT_diff_lag_1,2019-05-01,13
TCU,2019-05-01,13
TCU_diff_lag_1,2019-05-01,15
BOPTIMP_diff_lag_1,2019-05-01,17
BOPTIMP_perc_diff_lag_1,2019-05-01,12
PAYEMS_diff_lag_1,2019-05-01,18
RRSFS_perc_diff_lag_1,2019-05-01,11
RRSFS_diff_lag_1,2019-05-01,13
INDPRO_perc_diff_lag_1,2019-05-01,11
INDPRO_diff_lag_1,2019-05-01,18
BOPTEXP_diff_lag_1,2019-05-01,11
BOPTEXP_perc_diff_lag_1,2019-05-01,15
AMDMVS_diff_lag_1,2019-05-01,18
DSPIC96_diff_lag_1,2022-04-01,11
DSPIC96_perc_diff_lag_1,2022-04-01,11
PCEC96_perc_diff_lag_1,2022-04-01,17
PCEC96_diff_lag_1,2022-04-01,15
INVCMRMT_diff_lag_1,2022-04-01,14
TCU_diff_lag_1,2022-04-01,12
TCU,2022-04-01,19
BOPTIMP_perc_diff_lag_1,2022-04-01,19
BOPTIMP_diff_lag_1,2022-04-01,22
PAYEMS_diff_lag_1,2022-04-01,36
RRSFS_perc_diff_lag_1,2022-04-01,19
RRSFS_diff_lag_1,2022-04-01,17
INDPRO_perc_diff_lag_1,2022-04-01,13
INDPRO_diff_lag_1,2022-04-01,17
BOPTEXP_perc_diff_lag_1,2022-04-01,15
BOPTEXP_diff_lag_1,2022-04-01,22
UNRATE_diff_lag_1,2022-04-01,16
UNRATE,2022-04-01,21
AMDMVS_diff_lag_1,2022-04-01,16
DSPIC96_perc_diff_lag_1,2020-03-01,15
DSPIC96_diff_lag_1,2020-03-01,12
PCEC96_diff_lag_1,2020-03-01,19
PCEC96_perc_diff_lag_1,2020-03-01,16
INVCMRMT_perc_diff_lag_1,2020-03-01,11
INVCMRMT_diff_lag_1,2020-03-01,17
TCU_diff_lag_1,2020-03-01,16
TCU,2020-03-01,14
PAYEMS_diff_lag_1,2020-03-01,11
RRSFS_perc_diff_lag_1,2020-03-01,14
RRSFS_diff_lag_1,2020-03-01,13
INDPRO_diff_lag_1,2020-03-01,20
INDPRO_perc_diff_lag_1,2020-03-01,16
CPALTT01USM657N,2020-03-01,21
UNRATE_diff_lag_1,2020-03-01,24
AMDMVS_diff_lag_1,2020-03-01,19
DSPIC96_diff_lag_1,2018-12-01,11
DSPIC96_perc_diff_lag_1,2018-12-01,17
PCEC96_perc_diff_lag_1,2018-12-01,18
PCEC96_diff_lag_1,2018-12-01,16
INVCMRMT_perc_diff_lag_1,2018-12-01,17
INVCMRMT_diff_lag_1,2018-12-01,19
TCU,2018-12-01,11
TCU_diff_lag_1,2018-12-01,17
BOPTIMP_diff_lag_1,2018-12-01,13
BOPTIMP_perc_diff_lag_1,2018-12-01,14
PAYEMS_perc_diff_lag_1,2018-12-01,11
RRSFS_diff_lag_1,2018-12-01,18
RRSFS_perc_diff_lag_1,2018-12-01,18
INDPRO_diff_lag_1,2018-12-01,13
BOPTEXP_perc_diff_lag_1,2018-12-01,14
BOPTEXP_diff_lag_1,2018-12-01,27
CPALTT01USM657N,2018-12-01,14
AMDMVS_diff_lag_1,2018-12-01,14
DSPIC96_perc_diff_lag_1,2022-07-01,12
PCEC96_diff_lag_1,2022-07-01,17
PCEC96_perc_diff_lag_1,2022-07-01,21
INVCMRMT_perc_diff_lag_1,2022-07-01,13
INVCMRMT_diff_lag_1,2022-07-01,12
TCU_diff_lag_1,2022-07-01,26
TCU,2022-07-01,17
BOPTIMP_diff_lag_1,2022-07-01,18
